ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
ATL - Above The Line,Brand,print,6509.58,False,False,False,Spring,print_ATL - Above The Line,print_Brand,0.313040492548819,135364698.1302,8.781183824936004,9.94250103267967,0.2723454345624279,18.723483169016003
ATL - Above The Line,Title,tv,1377.51,False,False,False,Winter,tv_ATL - Above The Line,tv_Title,0.1135684216948325,16708287.1434,7.228758484699418,9.403465031223757,0.1075696532408807,16.631415450284827
ATL - Above The Line,Title,ooh,1824.49,False,True,False,Winter,ooh_ATL - Above The Line,ooh_Title,0.199214928371768,16709409.216,7.509603723129441,9.122535953339408,0.1816671163376468,16.631482604676393
ATL - Above The Line,Title,digital audio,25020.42,False,False,True,Winter,digital audio_ATL - Above The Line,digital audio_Title,0.4614525737260471,1356632192.82,10.127487537006743,10.900842009130011,0.3794308546328169,21.02827113744928
ATL - Above The Line,Title,bvod,3848.77,False,False,False,Summer,bvod_ATL - Above The Line,bvod_Title,0.1416715592716859,104558957.2745,8.25576868523757,10.209789567894418,0.1324934685303437,18.46526166428589
ATL - Above The Line,Title,ctv,693.06,False,False,False,Winter,ctv_ATL - Above The Line,ctv_Title,0.0051085464775198,94025211.6162,6.54255841210117,11.817964308401685,0.0050955421240563,18.35907352359118
ATL - Above The Line,Title,ctv,11276.38,False,False,False,Spring,ctv_ATL - Above The Line,ctv_Title,1.4519143610556022,87578681.8528,9.330554228569763,8.957711365730448,0.8968690913040007,18.28804817986385
ATL - Above The Line,Title,olv,4537.33,False,False,False,Spring,olv_ATL - Above The Line,olv_Title,0.2939191596479704,70044305.9022,8.420314381955455,9.644609304845469,0.2576757209030415,18.064638555527345
ATL - Above The Line,Title,online display,33.51,False,False,False,Fall,online display_ATL - Above The Line,online display_Title,0.001333301502799,842210.1809999999,3.541249137109912,10.13198076884148,0.001332413445628,13.643786070565795
ATL - Above The Line,Title,ctv,6880.67,False,False,False,Fall,ctv_ATL - Above The Line,ctv_Title,0.5305396867499049,89236716.5573,8.836616634030747,9.470408926393633,0.4256204096453188,18.3068031446614
ATL - Above The Line,Brand,partnership,6441.68,False,False,False,Summer,partnership_ATL - Above The Line,partnership_Brand,0.2322292702007502,178682218.59600002,8.770699881600715,10.230610866707591,0.2088249437397935,19.00111947655595
ATL - Above The Line,Title,cinema,3293.16,False,False,True,Fall,cinema_ATL - Above The Line,cinema_Title,0.0867008240258873,125084195.07479998,8.099906482721275,10.544921087215316,0.0831463393691524,18.64449763711946
