Feature,VIF
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_online display_August,1.6322107905322512e+16
ATL_OR_DR_CHANNEL_MONTH_DR - Direct Response_app_December,1.6229361052077666e+16
CHANNEL_MONTH_app_December,1.6194659478487144e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_app_August,1.5896514227378546e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_cinema_April,1.5828327712502892e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_online display_February,1.576981064219073e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_print_September,1.525900770662903e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_March,1.5212796254678386e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_tv_February,1.511801500386493e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_cinema_February,1.4568977660335316e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_bvod_November,1.4261960686269986e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_app_November,1.4054339264654708e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ooh_August,1.3788644905024414e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_bvod_November,1.3730135222203634e+16
CHANNEL_MONTH_ooh_March,1.3597067040542892e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_olv_September,1.3255878148486742e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ooh_October,1.3183544028050416e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Title_app_June,1.2933675265477302e+16
CHANNEL_MONTH_olv_September,1.2893451204924646e+16
CHANNEL_MONTH_partnership_August,1.25851015860962e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_print_September,1.2502304920658444e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_August,1.2460560577432764e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_July,1.2394705232704106e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_July,1.2252008202287136e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_partnership_May,1.1795971632560638e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_ott_June,1.1654623452509192e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_bvod_May,1.1346888943265984e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_July,1.1343275943723154e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_November,1.1311588226163824e+16
CHANNEL_MONTH_radio_January,1.1121711587560648e+16
CHANNEL_MONTH_online display_November,1.107196300919399e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_tv_August,1.103175725038011e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_print_June,1.0963981592032312e+16
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_olv_October,1.0892735508805544e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_cinema_July,1.0835400974736e+16
